timestamp,subscription,upgrade,age,gender,location,digitalfluency,os,nps,churn,supporttickets,competitormention,notification_settings,notification_dismissal,uninstall,delete_falsepop,silent_mode,subscription_plan,manual_scan,help,secure_browser,clean_now,parental_control,privacy_settings,scan_now,diagnostic_tool,vpn_toggle,tenure
14/08/2019,basic,yes,42,f,Spain,Basic,Mac,8,1,11,40,957,5699,6866,893,1251,815,6007,2320,9730,21620,91,1660,22981,10750,576,3
12/03/2015,premium,no,44,m,Germany,Intermediate,Mac,8,1,0,13,10454,5672,2740,10373,6067,2636,7287,7388,17071,186,17042,23309,1065,15670,10228,7
12/10/2012,basic,no,58,m,Germany,Basic,Mac,8,0,0,1,878,7392,7934,10594,10054,5941,160,14265,14804,119,11077,5252,22601,24975,731,10
10/06/2021,premium,no,52,m,France,Basic,Mac,1,1,2,70,2914,3394,2204,1283,589,6458,7996,1959,899,18064,16868,3575,9640,57,2119,1
20/06/2018,basic,no,27,f,Spain,Basic,Linux,6,0,0,2,8320,1670,12355,1369,2046,540,16085,1346,6527,21106,20317,6274,9201,3385,10397,4
04/03/2022,basic,no,57,f,Spain,Intermediate,Linux,4,0,16,66,2770,8668,2120,11352,11001,1586,496,2614,6420,8852,2693,110,15211,349,8194,0
17/04/2013,basic,no,39,m,Spain,Basic,Linux,8,1,14,37,6435,12856,3293,9770,13574,78,374,4574,843,2029,2292,5173,2687,6854,5684,9
25/10/2014,basic,no,26,f,Germany,Intermediate,Mac,5,1,19,15,665,551,2569,117,1982,2114,3432,16280,13001,628,10677,19418,12077,22024,8922,8
18/02/2015,basic,yes,55,f,Spain,Basic,Linux,0,0,0,29,8205,3361,3111,2202,8569,411,9273,4090,9056,56,18462,4004,3795,529,9328,7
26/08/2021,premium,no,24,m,France,Intermediate,Mac,1,1,7,31,10507,4279,11176,119,10941,1498,13565,429,11210,4930,32,3233,9294,5107,8101,1
